game_id,initial_player,winner_player,timestamp,dificultad,filas,columnas,tiempo_juego,jugadas_humano,jugadas_ia,sugerencias_usadas,tiempo_total_ia,nodos_explorados,promedio_tiempo_jugada_ia,nivel_dificultad
b674089f-1374-40f8-a8d4-2dc829482542,HUMAN,AI,2024-11-02 21:58:52.648749,1,6,7,16.9370017051697,9,9,4,0.793455839157104,322,0.0881617599063449,1
175e3549-269b-414e-8f37-42f4a1bb2404,HUMAN,EMPATE,2024-11-02 22:11:36.259982,3,5,4,39.8252968788147,10,10,8,8.16042304039001,3630,0.816042304039001,3
0c796b09-5fdc-4065-883e-6ae92b6a6046,HUMAN,AI,2024-11-02 22:25:27.361632,2,6,7,95.6059195995331,15,15,9,14.4384734630585,6956,0.962564897537231,1
3f1c1ed5-f216-46cf-bf26-058b42f0c69b,AI,AI,2024-11-02 22:31:26.125230,3,6,7,140.465993404388,8,9,2,81.0861418247223,39969,9.00957131385803,2
a2957175-41d4-4378-bd76-4e6da82417cb,HUMAN,AI,2024-11-02 22:34:33.952735,3,6,7,400.793928623199,7,7,2,311.153388738632,152743,44.4504841055189,2
8b2a5954-332f-42f3-8256-72e2c808bfb1,HUMAN,AI,2024-11-02 22:48:10.048864,1,6,7,12.8906810283661,7,7,0,0.658921718597412,265,0.0941316740853446,1
bf0b0e36-7e61-4a9f-b45c-6d9f1a4651e6,HUMAN,,2024-11-02 23:48:00.925931,1,6,7,,,,,,,,1
7c9a73f8-afe8-47aa-ac1e-5c85a350620b,HUMAN,,2024-11-02 23:49:51.113172,1,6,7,,,,,,,,1
d3a37a25-fa8c-4437-862d-92dc5077fece,HUMAN,AI,2024-11-02 23:57:00.962869,1,6,7,9.59276747703552,6,6,0,0.700972080230713,249,0.116828680038452,1
68c58554-10e6-4e53-b91f-178c3153cec0,AI,AI,2024-11-02 23:57:24.374129,2,6,7,29.0203049182892,9,10,4,12.3286461830139,5151,1.23286461830139,1
d4ca8c19-5ce3-4e00-85e4-43ef26caa096,HUMAN,AI,2024-11-03 00:14:57.599485,1,6,7,19.7004210948944,7,7,3,0.549734354019165,227,0.078533479145595,1
7537308a-03dd-4009-92e5-823fcea29197,AI,AI,2024-11-03 00:32:48.347228,1,6,7,6.0238823890686,4,5,0,0.392726421356201,160,0.0785452842712402,1
9a5e2fe4-533f-4ae4-8eec-2238e42c0341,AI,AI,2024-11-03 00:51:56.259587,3,6,7,241.26106262207,12,13,10,130.146073818207,58631,10.0112364475544,2
a256e5ba-cf0b-4e01-86fa-42511fd5250e,HUMAN,AI,2024-11-03 02:24:00.459648,1,6,7,23.2908809185028,5,5,0,0.467134714126587,143,0.0934269428253174,1
788010fc-36e3-4529-a612-d9d0dd941e54,HUMAN,AI,2024-11-03 02:24:54.558122,1,6,7,39.2044758796692,12,12,2,1.12565493583679,291,0.0938045779863993,1
60d5def0-5333-4d72-af88-d8accc4f08bd,HUMAN,IA,2024-11-03 02:25:49.670505,1,6,7,54.6035268306732,9,9,0,0.820278882980347,260,0.0911420981089274,1
7257aa9e-fa5e-481e-9df4-c8eeb6c69f7d,HUMAN,AI,2024-11-03 02:28:04.006047,1,6,7,40.9089384078979,10,10,0,1.01196980476379,317,0.101196980476379,1
b27fa34c-8a03-466b-b098-af9241011487,HUMAN,HUMAN,2024-11-03 02:28:53.189270,1,6,7,8.70083737373352,5,4,0,0.372860670089722,113,0.0932151675224304,1
a445d976-5a44-465e-8f72-12d4afc51fb9,HUMAN,IA,2024-11-03 02:29:09.923781,1,6,7,54.6420292854309,6,6,1,0.844765663146973,243,0.140794277191162,1
4e0a0c89-2e18-4d7d-b811-31b2a807f4b7,HUMAN,,2024-11-06 20:17:11.437880,1,5,4,,,,,,,,1
5378a3ca-44ef-4fb2-b62f-f4c4a6e8c0e2,HUMAN,AI,2024-11-06 20:18:07.074384,1,6,7,105.065413475037,17,17,1,1.31465220451355,434,0.0773324826184441,1
9322e77b-dca7-498a-b6f9-753b0dadd559,HUMAN,AI,2024-11-06 20:20:10.906986,3,6,7,301.976160526276,14,14,10,158.893793344498,70776,11.3495566674641,2
05a38f95-710d-41da-bda3-02b46399d792,HUMAN,AI,2024-11-06 20:26:41.046992,3,6,7,323.381528377533,15,15,9,170.724591732025,78033,11.3816394488017,2
1dd8d5b8-f97f-401a-877a-6ca995e7fbaa,HUMAN,AI,2024-11-06 20:33:19.784395,3,6,7,206.375712633133,16,16,2,140.928081274033,60828,8.80800507962704,2
94bd5d81-6920-41fd-a662-976b8c8aab05,AI,IA,2024-11-06 20:42:52.093402,3,6,7,301.050387859344,7,8,0,204.902765989304,89856,25.6128457486629,3
bc8811f8-2b30-42bd-a37f-f1249b515c31,HUMAN,AI,2024-11-06 20:48:10.491948,1,6,7,17.776111125946,6,6,0,0.645761013031006,237,0.107626835505168,1
595c487c-2758-4d3a-928d-88717102ddfd,HUMAN,AI,2024-11-06 20:48:51.289209,1,6,7,44.5584378242493,13,13,0,1.1405827999115,374,0.0877371384547307,1
19b9f487-1fbe-4e90-a810-abb6ffd4724a,HUMAN,AI,2024-11-06 20:51:24.729916,1,6,7,44.3541123867035,19,19,0,0.903064489364624,393,0.0475297099665592,1
fd0bd0b3-0f6b-4da4-b718-427e43b34580,HUMAN,,2024-11-06 20:55:54.521768,3,6,7,,,,,,,,3
2a7c1b74-8689-4393-ade5-f0930df64161,HUMAN,IA,2024-11-06 20:57:08.229007,3,6,7,89.5479252338409,2,2,0,57.5914487838745,22832,28.7957243919373,3
69603148-b67f-4cd0-8050-c7503bdcb4c6,HUMAN,AI,2024-11-06 20:58:55.742972,1,6,7,14.2916610240936,8,8,0,0.658252000808716,278,0.0822815001010895,1
8a26b317-3b79-4727-b71d-a58d79ec3ac8,HUMAN,AI,2024-11-06 20:59:21.120730,1,6,7,36.0390915870667,18,18,0,1.14515233039856,394,0.0636195739110311,1
1e49a455-eef0-4a4f-adc0-7876dbf2d0cc,HUMAN,AI,2024-11-06 21:00:05.471533,2,6,7,23.3832960128784,7,7,0,7.7202045917511,3245,1.10288637025016,1
d7c446e4-3ac5-400e-8a91-1e9229de8dad,HUMAN,AI,2024-11-06 21:00:41.414001,2,6,7,29.6115565299988,9,9,0,14.4656574726105,6119,1.6072952747345,1
74108e11-bcb4-4a5d-b942-5db6644ab8e4,HUMAN,AI,2024-11-06 21:01:28.812785,2,6,7,48.7928907871246,14,14,0,11.0030202865601,4566,0.785930020468576,1
ad1a0cf2-c7aa-4cce-8f2d-6452be1b0615,AI,AI,2024-11-06 21:02:27.301724,1,6,7,14.2131819725037,9,10,0,0.961153030395508,360,0.0961153030395508,1
3b19f28a-1d1d-46f8-b373-c011e71145b1,HUMAN,AI,2024-11-06 21:02:52.234530,1,6,7,30.0607299804687,16,16,0,0.957537412643433,362,0.0598460882902145,1
